,open,high,low,close,volume
06/07/18,190.75,190.97,186.77,188.18,21503171
06/08/18,187.53,189.4754,186.43,189.1,12677092
06/11/18,188.81,192.6,188.8,191.54,12928907
06/12/18,192.17,193.28,191.56,192.4,11562704
06/13/18,192.74,194.5,191.91,192.41,15853821
06/14/18,193.1,197.28,192.91,196.81,19120866
06/15/18,195.79,197.07,194.64,195.85,21860931
06/18/18,194.8,199.58,194.13,198.31,16826023
06/19/18,196.2352,197.96,193.79,197.49,19993996
06/20/18,199.1,203.55,198.805,202.0,28230933
06/21/18,202.76,203.39,200.09,201.5,19045717
06/22/18,201.16,202.24,199.31,201.74,17420188
06/25/18,200.0,200.0,193.11,196.35,25275137
06/26/18,197.6,199.1,196.23,199.0,17897576
06/27/18,199.18,200.75,195.8,195.84,18734408
06/28/18,195.18,197.34,193.26,196.23,18172439
06/29/18,197.32,197.5997,193.955,194.32,15811602
07/02/18,193.37,197.45,192.22,197.36,13961578
07/03/18,194.55,195.4,192.52,192.73,13489514
07/05/18,194.74,198.65,194.03,198.45,19684193
07/06/18,198.45,203.64,197.7,203.23,19740131
07/09/18,204.93,205.8,202.1201,204.74,18149437
07/10/18,204.5,204.91,202.26,203.54,13190067
07/11/18,202.22,204.5,201.75,202.54,12927377
07/12/18,203.43,207.08,203.19,206.92,15454706
07/13/18,207.81,208.43,206.45,207.32,11503401
07/16/18,207.5,208.72,206.84,207.23,11078209
07/17/18,204.9,210.46,204.84,209.99,15349892
07/18/18,209.82,210.99,208.44,209.36,15334907
07/19/18,208.77,209.99,207.76,208.09,11350429
07/20/18,208.85,211.5,208.5,209.94,16241508
07/23/18,210.58,211.62,208.8,210.91,16731969
07/24/18,215.11,216.2,212.6,214.67,28468681
07/25/18,215.715,218.62,214.27,217.5,64592585
07/26/18,174.89,180.13,173.75,176.26,169803668
07/27/18,179.87,179.93,173.0,174.89,60073749
07/30/18,175.3,175.3,166.56,171.06,65280787
07/31/18,170.67,174.24,170.0,172.58,40356471
08/01/18,173.93,175.08,170.9,171.65,34042109
08/02/18,170.68,176.79,170.27,176.37,32399954
08/03/18,177.69,178.85,176.15,177.78,24763434
08/06/18,178.97,185.79,178.38,185.69,49716192
08/07/18,186.5,188.3,183.72,183.81,33398562
08/08/18,184.75,186.85,183.76,185.18,22205230
08/09/18,185.8492,186.57,182.48,183.09,19732120
08/10/18,182.04,182.1,179.42,180.26,21500410
08/13/18,180.1,182.61,178.9,180.05,17423264
08/14/18,180.71,181.99,178.62,181.11,19101995
08/15/18,179.34,180.87,174.78,179.53,33020231
08/16/18,180.42,180.5,174.01,174.7,31351784
08/17/18,174.5,176.22,172.04,173.8,24893176
08/20/18,174.04,174.57,170.91,172.5,21518006
08/21/18,172.81,174.17,171.39,172.62,19578514
08/22/18,172.21,174.24,172.13,173.64,16894083
08/23/18,173.09,175.55,172.83,172.9,18053567
08/24/18,173.7,174.82,172.92,174.645,14631556
08/27/18,175.99,178.67,175.79,177.46,17921935
08/28/18,178.1,178.2399,175.83,176.26,15910675
08/29/18,176.295,176.79,174.75,175.9,18678301
08/30/18,175.9,179.7901,175.7,177.64,24216532
08/31/18,177.15,177.62,174.9815,175.73,18065159
09/04/18,173.5,173.89,168.8,171.16,29808971
09/05/18,169.49,171.125,166.67,167.18,31226744
09/06/18,166.98,166.98,160.0,162.53,41514834
09/07/18,160.31,164.6269,160.16,163.04,24300600
09/10/18,163.51,165.01,162.16,164.18,20197680
09/11/18,163.94,167.19,163.72,165.94,20457088
09/12/18,163.25,164.49,161.8,162.0,24078118
09/13/18,162.0,163.32,160.86,161.36,25453775
09/14/18,161.715,162.84,160.34,162.32,21770405
09/17/18,161.92,162.06,159.77,160.58,21005321
09/18/18,159.39,161.7639,158.8656,160.3,22465236
09/19/18,160.08,163.44,159.48,163.06,19628996
09/20/18,164.5,166.45,164.4722,166.02,18936038
09/21/18,166.64,167.25,162.81,162.93,45994800
09/24/18,161.03,165.7,160.88,165.41,19222775
09/25/18,161.99,165.59,161.15,164.91,27622806
09/26/18,164.3,169.3,164.21,166.95,25252231
09/27/18,167.55,171.77,167.21,168.84,27266856
09/28/18,168.33,168.79,162.56,164.46,34265638
10/01/18,163.03,165.88,161.26,162.44,26407677
10/02/18,161.58,162.28,158.67,159.33,36030977
10/03/18,160.0,163.66,159.53,162.43,23109456
10/04/18,161.46,161.46,157.35,158.85,25739635
10/05/18,159.21,160.9,156.2,157.33,25744047
10/08/18,155.54,158.34,154.39,157.25,24045968
10/09/18,157.69,160.59,157.42,157.9,18844425
